,Country,con_code,Score,GDP,social,life_expectancy,freedom,Generosity,corruption,alcohol_consumption,beer_servings,spirit_servings,wine_servings,equal_or_greater_than_5.41?
0,Finland,FIN,7.632000000000001,50030.87731,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.20199999999999999,0.39299999999999996,10.78,263,133,97,True
1,Norway,NOR,7.593999999999999,81734.46557,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,0.34,7.41,169,71,129,True
2,Denmark,DNK,7.555,61598.5367,1.59,0.868,0.6829999999999999,0.284,0.408,10.26,224,81,278,True
3,Iceland,ISL,7.495,72968.70422999999,1.6440000000000001,0.914,0.677,0.353,0.138,9.12,233,61,78,True
4,Switzerland,CHE,7.487,82818.10816,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004,11.53,185,100,280,True
5,Netherlands,NLD,7.441,53044.532439999995,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295,9.61,251,88,190,True
6,Canada,CAN,7.327999999999999,46313.17137,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004,8.94,240,122,100,True
7,New Zealand,NZL,7.324,42949.93058,1.601,0.8759999999999999,0.669,0.365,0.389,10.63,203,79,175,True
8,Sweden,SWE,7.314,54589.06039,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995,8.93,152,60,186,True
9,Australia,AUS,7.272,57354.96405,1.5730000000000002,0.91,0.647,0.361,0.302,10.51,261,72,212,True
10,United Kingdom,GBR,7.19,43043.22782,1.433,0.888,0.46399999999999997,0.262,0.08199999999999999,11.45,219,126,195,True
11,Austria,AUT,7.138999999999999,51478.285260000004,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998,11.96,279,75,191,True
12,Costa Rica,CRI,7.072,12112.13442,1.459,0.8170000000000001,0.632,0.14300000000000002,0.10099999999999999,4.87,149,87,11,True
13,Ireland,IRL,6.977,78621.22793,1.5830000000000002,0.8759999999999999,0.614,0.307,0.306,12.88,313,118,165,True
14,Germany,DEU,6.965,47810.50767,1.474,0.861,0.586,0.273,0.28,12.91,346,117,175,True
15,Belgium,BEL,6.9270000000000005,47583.07494,1.483,0.894,0.583,0.188,0.24,11.08,295,84,212,True
16,Luxembourg,LUX,6.91,116654.2611,1.52,0.8959999999999999,0.632,0.196,0.321,12.94,236,133,271,True
17,Israel,ISR,6.814,41719.725439999995,1.5590000000000002,0.883,0.5329999999999999,0.354,0.272,4.21,63,69,9,True
18,Czech Republic,CZE,6.711,23415.84363,1.489,0.8540000000000001,0.5429999999999999,0.064,0.034,14.45,361,170,134,True
19,Malta,MLT,6.627000000000001,30437.221510000003,1.525,0.884,0.645,0.376,0.142,7.99,149,100,120,True
20,France,FRA,6.489,41631.09074,1.466,0.9079999999999999,0.52,0.098,0.17600000000000002,12.33,127,151,370,True
21,Mexico,MEX,6.4879999999999995,9686.513783,1.252,0.7609999999999999,0.479,0.069,0.095,5.0,238,68,5,True
