,Country,Country Code,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol Consumption per Capita (liter),equal_or_lower_than_5.41?
0,Finland,FIN,7.632000000000001,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.20199999999999999,0.39299999999999996,10.78,False
1,Norway,NOR,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,0.34,7.41,False
2,Denmark,DNK,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,0.408,10.26,False
3,Iceland,ISL,7.495,1.3430000000000002,1.6440000000000001,0.914,0.677,0.353,0.138,9.12,False
4,Switzerland,CHE,7.487,1.42,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004,11.53,False
5,Netherlands,NLD,7.441,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295,9.61,False
6,Canada,CAN,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004,8.94,False
7,New Zealand,NZL,7.324,1.268,1.601,0.8759999999999999,0.669,0.365,0.389,10.63,False
8,Sweden,SWE,7.314,1.355,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995,8.93,False
9,Australia,AUS,7.272,1.34,1.5730000000000002,0.91,0.647,0.361,0.302,10.51,False
10,United Kingdom,GBR,7.19,1.244,1.433,0.888,0.46399999999999997,0.262,0.08199999999999999,11.45,False
11,Austria,AUT,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998,11.96,False
12,Costa Rica,CRI,7.072,1.01,1.459,0.8170000000000001,0.632,0.14300000000000002,0.10099999999999999,4.87,False
13,Ireland,IRL,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.307,0.306,12.88,False
14,Germany,DEU,6.965,1.34,1.474,0.861,0.586,0.273,0.28,12.91,False
15,Belgium,BEL,6.9270000000000005,1.324,1.483,0.894,0.583,0.188,0.24,11.08,False
16,Luxembourg,LUX,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.196,0.321,12.94,False
17,United States,USA,6.886,1.3980000000000001,1.4709999999999999,0.8190000000000001,0.547,0.29100000000000004,0.133,9.87,False
18,Israel,ISR,6.814,1.301,1.5590000000000002,0.883,0.5329999999999999,0.354,0.272,4.21,False
19,Czech Republic,CZE,6.711,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.064,0.034,14.45,False
20,Malta,MLT,6.627000000000001,1.27,1.525,0.884,0.645,0.376,0.142,7.99,False
21,France,FRA,6.489,1.2930000000000001,1.466,0.9079999999999999,0.52,0.098,0.17600000000000002,12.33,False
22,Mexico,MEX,6.4879999999999995,1.038,1.252,0.7609999999999999,0.479,0.069,0.095,5.0,False
23,Chile,CHL,6.476,1.131,1.331,0.8079999999999999,0.431,0.19699999999999998,0.061,9.07,False
24,Panama,PAN,6.43,1.112,1.4380000000000002,0.759,0.597,0.125,0.063,7.98,False
