con,Country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
afghanistan,Afghanistan,0,0,0,0
albania,Albania,89,132,54,4.9
algeria,Algeria,25,0,14,0.7
andorra,Andorra,245,138,312,12.4
angola,Angola,217,57,45,5.9
antigua & barbuda,Antigua & Barbuda,102,128,45,4.9
argentina,Argentina,193,25,221,8.3
armenia,Armenia,21,179,11,3.8
australia,Australia,261,72,212,10.4
austria,Austria,279,75,191,9.7
azerbaijan,Azerbaijan,21,46,5,1.3
bahamas,Bahamas,122,176,51,6.3
bahrain,Bahrain,42,63,7,2
bangladesh,Bangladesh,0,0,0,0
barbados,Barbados,143,173,36,6.3
belarus,Belarus,142,373,42,14.4
belgium,Belgium,295,84,212,10.5
belize,Belize,263,114,8,6.8
benin,Benin,34,4,13,1.1
bhutan,Bhutan,23,0,0,0.4
bolivia,Bolivia,167,41,8,3.8
bosnia-herzegovina,Bosnia-Herzegovina,76,173,8,4.6
botswana,Botswana,173,35,35,5.4
brazil,Brazil,245,145,16,7.2
brunei,Brunei,31,2,1,0.6
bulgaria,Bulgaria,231,252,94,10.3
burkina faso,Burkina Faso,25,7,7,4.3
burundi,Burundi,88,0,0,6.3
cote d'ivoire,Cote D'Ivoire,37,1,7,4
cabo verde,Cabo Verde,144,56,16,4
cambodia,Cambodia,57,65,1,2.2
cameroon,Cameroon,147,1,4,5.8
canada,Canada,240,122,100,8.2
central african republic,Central African Republic,17,2,1,1.8
chad,Chad,15,1,1,0.4
chile,Chile,130,124,172,7.6
china,China,79,192,8,5
colombia,Colombia,159,76,3,4.2
comoros,Comoros,1,3,1,0.1
congo,Congo,76,1,9,1.7
cook islands,Cook Islands,0,254,74,5.9
costa rica,Costa Rica,149,87,11,4.4
croatia,Croatia,230,87,254,10.2
cuba,Cuba,93,137,5,4.2
cyprus,Cyprus,192,154,113,8.2
czech republic,Czech Republic,361,170,134,11.8
north korea,North Korea,0,0,0,0
dr congo,Dr Congo,32,3,1,2.3
denmark,Denmark,224,81,278,10.4
djibouti,Djibouti,15,44,3,1.1
dominica,Dominica,52,286,26,6.6
dominican republic,Dominican Republic,193,147,9,6.2
ecuador,Ecuador,162,74,3,4.2
egypt,Egypt,6,4,1,0.2
el salvador,El Salvador,52,69,2,2.2
equatorial guinea,Equatorial Guinea,92,0,233,5.8
eritrea,Eritrea,18,0,0,0.5
estonia,Estonia,224,194,59,9.5
ethiopia,Ethiopia,20,3,0,0.7
fiji,Fiji,77,35,1,2
finland,Finland,263,133,97,10
france,France,127,151,370,11.8
gabon,Gabon,347,98,59,8.9
gambia,Gambia,8,0,1,2.4
georgia,Georgia,52,100,149,5.4
germany,Germany,346,117,175,11.3
ghana,Ghana,31,3,10,1.8
greece,Greece,133,112,218,8.3
grenada,Grenada,199,438,28,11.9
guatemala,Guatemala,53,69,2,2.2
guinea,Guinea,9,0,2,0.2
guinea-bissau,Guinea-Bissau,28,31,21,2.5
guyana,Guyana,93,302,1,7.1
haiti,Haiti,1,326,1,5.9
