Country,Country Code,Indicator Name,2018,2019,2020
Aruba,ABW,GDP per capita (current US$),,,
Afghanistan,AFG,GDP per capita (current US$),493.7504181,507.1034319,
Angola,AGO,GDP per capita (current US$),3289.646664,2790.726615,
Albania,ALB,GDP per capita (current US$),5284.380184,5353.244856,
Andorra,AND,GDP per capita (current US$),41793.05526,40886.39116,
Arab World,ARB,GDP per capita (current US$),6601.825189,6584.740241,
United Arab Emirates,ARE,GDP per capita (current US$),43839.35635,43103.32306,
Argentina,ARG,GDP per capita (current US$),11633.49801,9912.281809,
Armenia,ARM,GDP per capita (current US$),4220.490277,4622.733493,
American Samoa,ASM,GDP per capita (current US$),11466.69071,,
Antigua and Barbuda,ATG,GDP per capita (current US$),16672.74424,17112.82113,
Australia,AUS,GDP per capita (current US$),57354.96405,55060.3261,
Austria,AUT,GDP per capita (current US$),51478.28526,50137.66278,
Azerbaijan,AZE,GDP per capita (current US$),4739.84171,4793.58702,
Burundi,BDI,GDP per capita (current US$),271.7520444,261.2474725,
Belgium,BEL,GDP per capita (current US$),47583.07494,46420.66377,
Benin,BEN,GDP per capita (current US$),1240.829464,1219.432672,
Burkina Faso,BFA,GDP per capita (current US$),813.096849,786.8956313,
Bangladesh,BGD,GDP per capita (current US$),1698.350394,1855.739824,
Bulgaria,BGR,GDP per capita (current US$),9427.73043,9828.148515,
Bahrain,BHR,GDP per capita (current US$),23991.05668,23503.97713,
"Bahamas, The",BHS,GDP per capita (current US$),33767.50337,34863.7421,
Bosnia and Herzegovina,BIH,GDP per capita (current US$),6072.184623,6108.510696,
Belarus,BLR,GDP per capita (current US$),6330.075246,6663.295293,
Belize,BLZ,GDP per capita (current US$),4884.734162,4815.163711,
Bermuda,BMU,GDP per capita (current US$),113021.4174,117089.2863,
Bolivia,BOL,GDP per capita (current US$),3548.590155,3552.06876,
Brazil,BRA,GDP per capita (current US$),9001.234249,8717.186278,
Barbados,BRB,GDP per capita (current US$),17745.19346,18148.24493,
Brunei Darussalam,BRN,GDP per capita (current US$),31628.32879,31086.75112,
Bhutan,BTN,GDP per capita (current US$),3243.486036,3316.175714,
Botswana,BWA,GDP per capita (current US$),8279.601739,7961.325181,
Central African Republic,CAF,GDP per capita (current US$),475.9536099,467.9074406,
Canada,CAN,GDP per capita (current US$),46313.17137,46194.72523,
Central Europe and the Baltics,CEB,GDP per capita (current US$),16037.4819,16298.47876,
Switzerland,CHE,GDP per capita (current US$),82818.10816,81993.72713,
Channel Islands,CHI,GDP per capita (current US$),,,
Chile,CHL,GDP per capita (current US$),15924.79424,14896.45387,
China,CHN,GDP per capita (current US$),9976.677137,10216.63033,
Cote d'Ivoire,CIV,GDP per capita (current US$),2314.050681,2276.333279,
Cameroon,CMR,GDP per capita (current US$),1534.493702,1507.450206,
"Congo, Dem. Rep.",COD,GDP per capita (current US$),557.0644183,580.7168672,
"Congo, Rep.",COG,GDP per capita (current US$),2577.701705,2279.969131,
Colombia,COL,GDP per capita (current US$),6716.911598,6428.676206,
Comoros,COM,GDP per capita (current US$),1415.955313,1370.148207,
Cabo Verde,CPV,GDP per capita (current US$),3617.327489,3603.781793,
Costa Rica,CRI,GDP per capita (current US$),12112.13442,12243.81143,
Caribbean small states,CSS,GDP per capita (current US$),10187.21231,10500.9719,
Cuba,CUB,GDP per capita (current US$),8821.818891,,
Curacao,CUW,GDP per capita (current US$),19573.89265,19689.13982,
Cayman Islands,CYM,GDP per capita (current US$),85975.02474,,
Cyprus,CYP,GDP per capita (current US$),28689.70672,27858.371,
Czech Republic,CZE,GDP per capita (current US$),23415.84363,23494.5962,
Germany,DEU,GDP per capita (current US$),47810.50767,46445.2491,
Djibouti,DJI,GDP per capita (current US$),3141.889219,3414.92487,
Dominica,DMA,GDP per capita (current US$),7693.87887,8110.568512,
Denmark,DNK,GDP per capita (current US$),61598.5367,60170.34264,
Dominican Republic,DOM,GDP per capita (current US$),8050.63044,8282.116359,
Algeria,DZA,GDP per capita (current US$),4153.733978,3973.964072,
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),7971.673386,8192.143336,
Early-demographic dividend,EAR,GDP per capita (current US$),3585.307952,3644.014158,
East Asia & Pacific,EAS,GDP per capita (current US$),11318.34574,11502.86511,
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),8031.821416,8133.573458,
Europe & Central Asia,ECS,GDP per capita (current US$),25215.21379,24742.71983,
Ecuador,ECU,GDP per capita (current US$),6295.935399,6183.823825,
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),2537.125365,3019.205829,
Euro area,EMU,GDP per capita (current US$),40038.50678,38976.34288,
Eritrea,ERI,GDP per capita (current US$),,,
Spain,ESP,GDP per capita (current US$),30389.36099,29600.37825,
Estonia,EST,GDP per capita (current US$),23170.70738,23723.30611,
Ethiopia,ETH,GDP per capita (current US$),771.5238139,855.7608623,
European Union,EUU,GDP per capita (current US$),35733.716,34913.19156,
Fragile and conflict affected situations,FCS,GDP per capita (current US$),2175.936541,2228.270237,
Finland,FIN,GDP per capita (current US$),50030.87731,48782.78848,
Fiji,FJI,GDP per capita (current US$),6317.487853,6175.88872,
France,FRA,GDP per capita (current US$),41631.09074,40493.92857,
Faroe Islands,FRO,GDP per capita (current US$),64269.70425,,
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),3568.291016,,
Gabon,GAB,GDP per capita (current US$),7956.627816,7767.013404,
United Kingdom,GBR,GDP per capita (current US$),43043.22782,42330.11754,
Georgia,GEO,GDP per capita (current US$),4722.787783,4697.704576,
Ghana,GHA,GDP per capita (current US$),2202.312164,2202.115567,
Gibraltar,GIB,GDP per capita (current US$),,,
Guinea,GIN,GDP per capita (current US$),878.5996133,962.8399086,
"Gambia, The",GMB,GDP per capita (current US$),732.7175138,777.8119321,
Guinea-Bissau,GNB,GDP per capita (current US$),778.3499102,697.2949269,
Equatorial Guinea,GNQ,GDP per capita (current US$),10144.19581,8131.923888,
Greece,GRC,GDP per capita (current US$),20324.30499,19582.53598,
Grenada,GRD,GDP per capita (current US$),10485.90716,10808.67212,
Greenland,GRL,GDP per capita (current US$),54470.95639,,
Guatemala,GTM,GDP per capita (current US$),4472.892371,4619.985258,
Guam,GUM,GDP per capita (current US$),35712.56214,,
Guyana,GUY,GDP per capita (current US$),6145.842411,6609.586425,
High income,HIC,GDP per capita (current US$),44415.46497,44612.48583,
